condition,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,0.001627488643862307,0.05759280174970627,0.014496398158371449,0.5579639673233032,0.006982368417084217,0.01297882478684187,0.04792294651269913,0.0015941041056066751,0.0005484854918904603,0.002371208043769002,0.010773600079119205,0.016186606138944626,0.0030435349326580763,0.0008652535616420209,0.00640573026612401,0.0027401717379689217,0.015404289588332176,0.0027023570146411657,0.005828646011650562,0.0074688466265797615,0.005229952745139599,0.002537287538871169,0.021831315010786057,0.002972019836306572,0.0009048889041878283,0.025278344750404358,0.11968041211366653,0.0012730075977742672,0.1974325031042099,0.027595536783337593,0.042908743023872375,0.028412191197276115,0.003445055801421404,0.14466087520122528,0.010808899998664856,0.15255460143089294
1,0.018624991178512573,0.05901027470827103,0.015515691600739956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.0016010686522349715,0.6730363965034485,0.0003510414680931717,0.011215773411095142,0.5378894805908203,0.422259658575058,0.7134404182434082,0.0014676913851872087,0.5903263092041016,0.031161321327090263,0.06426350027322769,0.3745364546775818,0.1795501857995987,0.9049448370933533,0.0023347472306340933,0.006470260675996542,0.022469565272331238,0.0005947372410446405,0.0046494463458657265,0.14744450151920319,0.002655657473951578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.9017234444618225,0.7586504817008972,0.9186335802078247,0.40041688084602356,0.08579995483160019,0.9663002490997314,0.9918317198753357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.025497326627373695,0.0030736129265278578,0.002333623357117176,0.0018912139348685741,0.010400183498859406,0.0006659101345576346,0.0050959340296685696,0.03551845625042915,0.022665344178676605,0.07818997651338577,0.02454422600567341,0.0056631132028996944,0.08732402324676514,0.0012144106440246105,0.014482608996331692,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0.004154438618570566,0.024555189535021782,0.003886211197823286,0.023098424077033997,0.009001667611300945,0.0002847798459697515,0.004114633426070213,0.024365581572055817,0.5620954632759094,0.01040821522474289,0.0027251236606389284,0.00013737559493165463,0.02908746525645256,0.001193273114040494,0.003878289368003607,0.003873666515573859,0.00118970253970474,0.004703854210674763,0.06768640875816345,0.0652206763625145,0.004893161356449127,0.006869439035654068,0.07349231839179993,0.14839760959148407,0.9139419794082642,0.006040770094841719,0.00039494482916779816,0.006106006447225809,0.0039350539445877075,0.04419379308819771,0.0055349781177937984,0.002987828804180026,0.0020111172925680876,0.0005547621985897422,0.05830807238817215,0.0036155853886157274
0,0.0030108343344181776,0.01956464722752571,0.00108333642128855,0.011770940385758877,0.0050622387789189816,0.0024586410727351904,0.01452696230262518,0.0026800348423421383,0.013964243233203888,0.0012157774763181806,0.0020779685582965612,0.0009856597753241658,0.001964044524356723,0.0021582504268735647,0.0013250942574813962,0.0007424077484756708,0.0020062029361724854,0.01821623370051384,0.02171437442302704,0.00730870570987463,0.00266611878760159,0.0013074458111077547,0.00037987349787727,0.0039059175178408623,0.003671619575470686,0.0003747605951502919,0.022224556654691696,0.0014643679605796933,0.0031831024680286646,0.002976135816425085,0.04031461849808693,0.0006985741201788187,0.002576306462287903,0.007977391593158245,0.00033249202533625066,0.0043015871196985245
0,0.0005429250304587185,0.002372412011027336,0.06682032346725464,0.0012803496792912483,0.0023314785212278366,0.00412450497969985,0.0020049794111400843,0.005212511867284775,0.0014835987240076065,0.005545428954064846,0.002678999910131097,0.002351187402382493,0.0019307055044919252,0.002522834809496999,0.0042080944404006,0.05718585103750229,0.003231539623811841,0.0030363150872290134,0.47358471155166626,0.012969214469194412,0.016254693269729614,0.01183374971151352,0.9288910627365112,0.008320050314068794,0.003937043249607086,0.09543264657258987,0.3189016878604889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.995101273059845,0.011124230921268463,0.04799627140164375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0173594132065773,0.8068791627883911,0.9891614317893982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
